,id,corpusName,corpusAcronym,links,used_in_descEvent,link_type_vocab,link_comment
60,23,Annotating Literatures,AnnotLit,http://www.annotating-literature.org/wp-content/uploads/2020/09/Styleguide-2020-08-11.pdf,yes,,Commentary: They provide a styleguide for annotating
61,23,Annotating Literatures,AnnotLit,http://www.annotating-literature.org/annotations/,yes,,
62,24,The CLiGS textbox,CLiGS,https://github.com/cligs/textbox,yes,,
63,24,The CLiGS textbox,CLiGS,https://github.com/cligs/toolbox,,,"Vera Maria Charvat:
Toolbox"
64,25,Perseus digital library,Perseus,http://www.perseus.tufts.edu/hopper/collections,yes,,
65,25,Perseus digital library,Perseus,https://ride.i-d-e.de/issues/issue-8/perseus/,yes,review,
66,26,Reference corpus Altdeutsch,DiaGer,https://doi.org/10.34644/laudatio-dev-WiWkDnMB7CArCQ9CyBEw,yes,,
67,26,Reference corpus Altdeutsch,DiaGer,http://www.deutschdiachrondigital.de/,,,
68,26,Reference corpus Altdeutsch,DiaGer,https://www.laudatio-repository.org/docs/elasticapi/,,api,
69,27,Stanford Literary Lab,StanfordLitLab,https://litlab.stanford.edu/,yes,,
70,28,Théâtre Classique,TheaClass,http://www.theatre-classique.fr/pages/programmes/PageEdition.php,yes,,
71,28,Théâtre Classique,TheaClass,http://www.theatre-classique.fr/pages/programmes/corpus.php,yes,,statistic on corpus
72,28,Théâtre Classique,TheaClass,http://www.theatre-classique.fr/pages/PagePersonnages.html,,,analysis of person/actor in drama
73,28,Théâtre Classique,TheaClass,https://ride.i-d-e.de/issues/issue-8/theatre-classique/,yes,review,
74,29,Shakespeare His Contemporaries,SHC,https://github.com/JonathanReeve/corpus-SHC,yes,,
75,29,Shakespeare His Contemporaries,SHC,https://github.com/DH-Box/corpus-downloader,,,Tool developed by authors of SHC corpus
76,30,Letteratura teatrale nella Biblioteca italiana,LTItal,http://www.letteraturaitaliana.net/autori/carlo_goldoni.html,yes,,
77,31,Dramawebben,DramaWebben,https://litteraturbanken.se/dramawebben,,,
78,31,Dramawebben,DramaWebben,https://litteraturbanken.se/om/english.html,yes,info website,about-page in English
79,31,Dramawebben,DramaWebben,https://ride.i-d-e.de/issues/issue-6/litteraturbanken-the-swedish-literature-bank/,,review,
80,32,Ludvig Holbergs skrifter,LHS,http://holbergsskrifter.dk/holberg-public/view?docId=adm/main.xml,yes,,
81,32,Ludvig Holbergs skrifter,LHS,http://holbergsskrifter.dk/holberg-public/view?docId=adm/userHelp.xml,yes,,"there is a doku (in Danish), see ""Guidelines for textual encoding"""
82,33,Biblioteca Electrónica Textual del Teatro en Español de 1868–1936,BETTE,https://github.com/HDAUNIR/BETTE,yes,,
83,33,Biblioteca Electrónica Textual del Teatro en Español de 1868–1936,BETTE,https://zenodo.org/badge/latestdoi/104444419,,,
84,34,Emothe: The Classics of Early Modern European Theatre,EMOTHE,https://emothe.uv.es/en/,yes,,
85,35,British Women Romantic Poets,BWRP,https://digital.lib.ucdavis.edu/projects/bwrp/,yes,,
86,35,British Women Romantic Poets,BWRP,https://quod.lib.umich.edu/b/bwrp/,,,
87,36,Diachronic Spanish Sonnet Corpus,DISCO,http://prf1.org/disco/,yes,,
88,36,Diachronic Spanish Sonnet Corpus,DISCO,https://prf1.org/disco/about.html,yes,,about-section
89,36,Diachronic Spanish Sonnet Corpus,DISCO,https://github.com/pruizf/disco,yes,,
90,37,Freiburger Anthologie,FRAN,http://freiburger-anthologie.de/,yes,,
91,38,Poetess Archive,PoetessArchive,https://poetessarchive.org/,yes,,
92,38,Poetess Archive,PoetessArchive,https://poetessarchive.org/about/principles.html,yes,,Editorial Principles
93,38,Poetess Archive,PoetessArchive,https://poetessarchive.org/about/template.html,,,Instructions
94,38,Poetess Archive,PoetessArchive,https://poetessarchive.org/about/annualtemplate-full.xml,,,XML-template
95,39,Russian Poetic Corpus,RusPoet,https://ruscorpora.ru/new/en/search-poetic.html,yes,,
96,39,Russian Poetic Corpus,RusPoet,https://wp.hse.ru/data/2018/12/29/1143017363/77LNG2018.pdf,yes,,related paper
97,40,"Corpus Sonetos del Siglo de Oro, ed. Borja Navarro Colorado",SonetSiglo,https://github.com/bncolorado/CorpusSonetosSigloDeOro,yes,,
98,40,"Corpus Sonetos del Siglo de Oro, ed. Borja Navarro Colorado",SonetSiglo,http://adso.gplsi.es/index.php/en/corpus-of-metre/,yes,,
99,40,"Corpus Sonetos del Siglo de Oro, ed. Borja Navarro Colorado",SonetSiglo,https://ride.i-d-e.de/issues/issue-6/corpus-of-spanish-golden-age-sonnets/,,review,
100,41,"TextGrid Repository, including “Digitale Bibliothek”",TextGrid,https://textgrid.de/digitale-bibliothek,yes,,
101,41,"TextGrid Repository, including “Digitale Bibliothek”",TextGrid,https://gitlab.gwdg.de/dariah-de/textgrid-digitale-bibliothek,,,
102,42,Biblioteca italiana,BibIta,http://www.bibliotecaitaliana.it/,yes,,
103,43,Oxford Text Archive,OTA,https://ota.bodleian.ox.ac.uk/,yes,,
104,43,Oxford Text Archive,OTA,https://ota.bodleian.ox.ac.uk/repository/xmlui/discover?advance,,,advanced search
105,44,PHI Latin Texts: Classical Latin Texts. A Resource Prepared by The Packard Humanities Institute,PHI,https://latin.packhum.org/,yes,,
106,44,PHI Latin Texts: Classical Latin Texts. A Resource Prepared by The Packard Humanities Institute,PHI,https://ride.i-d-e.de/issues/issue-8/phi/,yes,review,
107,45,Korpus der Literarischen Moderne/Corpus of Literary Modernism,KOLIMO,https://kolimo.uni-goettingen.de,,,
108,45,Korpus der Literarischen Moderne/Corpus of Literary Modernism,KOLIMO,https://github.com/ingoboerner/kolimo-schnitzler,yes,,for examples see derived corpus
109,46,Deutsches Lyrik Korpus/German Poetry Corpus,DLK,https://github.com/tnhaider/DLK,yes,,
110,47,Scottish Corpus of Texts & Speech,SCOTS,https://www.scottishcorpus.ac.uk/,yes,,
111,47,Scottish Corpus of Texts & Speech,SCOTS,https://www.scottishcorpus.ac.uk/advanced-search/,,,advanced search
112,47,Scottish Corpus of Texts & Speech,SCOTS,https://www.scottishcorpus.ac.uk/tools/,,,analysis tools
113,48,The Corpus of Modern Scottish Writing,CMSW,https://www.scottishcorpus.ac.uk/cmsw/,yes,,
114,48,The Corpus of Modern Scottish Writing,CMSW,https://www.scottishcorpus.ac.uk/cmsw/download-corpus,,,download entire corpus as plain text
115,49,Corpus Resource Database,CorD,https://varieng.helsinki.fi/CoRD/corpora/index.html,yes,,
116,50,Austrian Books Online,ABO,https://onb.ac.at/digitaler-lesesaal/austrian-books-online-abo,yes,,
117,50,Austrian Books Online,ABO,https://search.onb.ac.at/primo-explore/search?query=&tab=onb_fulltext&search_scope=ONB_aleph_abo&vid=ONB,,,
118,51,1-Satz-Korpus,1SatzCor,https://github.com/satzomat/corpus,yes,,
119,52,Historisches Textkorpus,HistCor,https://www.ids-mannheim.de/lexik/abgeschlosseneprojekte/historischeskorpus/,yes,,
120,52,Historisches Textkorpus,HistCor,https://www.ids-mannheim.de/fileadmin/lexik/uwv/dateien/GerManC_Documentation.pdf,yes,,"contains the ""GerManC"
121,52,Historisches Textkorpus,HistCor,https://www2.ids-mannheim.de/cosmas2/,,,searchable via
122,53,Text Creation Partnership,TCP,https://textcreationpartnership.org/,yes,,
